"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","< VALUE >","-3DB BANDWIDTH","ACCESS TIME","ACCURACY","ADDRESS BUS WIDTH","APPROVALS","AVAILABILITY","AVERAGE RECTIFIED CURRENT","BANDWIDTH","BODY MATERIAL","BODY PLATING","BREAKDOWN VOLTAGE","BUILT_BY","CAPACITANCE","CASE CODE (IMPERIAL)","CASE CODE (METRIC)","CASE/PACKAGE","CLAMPING CURRENT","CLAMPING VOLTAGE","COIL CURRENT","COIL POWER","COIL RESISTANCE","COIL VOLTAGE (DC)","COLLECTOR BASE VOLTAGE (VCBO)","COLLECTOR EMITTER BREAKDOWN VOLTAGE","COLLECTOR EMITTER SATURATION VOLTAGE","COLLECTOR EMITTER VOLTAGE (VCEO)","COLOR","COMMENT","COMMENT_1","COMMON MODE REJECTION RATIO","COMPONENTLINK10DESCRIPTION","COMPONENTLINK10URL","COMPONENTLINK11DESCRIPTION","COMPONENTLINK11URL","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","COMPONENTLINK3DESCRIPTION","COMPONENTLINK3URL","COMPONENTLINK4DESCRIPTION","COMPONENTLINK4URL","COMPONENTLINK5DESCRIPTION","COMPONENTLINK5URL","COMPONENTLINK6DESCRIPTION","COMPONENTLINK6URL","COMPONENTLINK7DESCRIPTION","COMPONENTLINK7URL","COMPONENTLINK8DESCRIPTION","COMPONENTLINK8URL","COMPONENTLINK9DESCRIPTION","COMPONENTLINK9URL","COMPOSITION","CONNECTOR TYPE","CONTACT CURRENT RATING","CONTACT GENDER","CONTACT MATERIAL","CONTACT MATING LENGTH","CONTACT PLATING","CONTACT RESISTANCE","CONTACT VOLTAGE RATING (AC)","CONTINUOUS DRAIN CURRENT (ID)","COPYRIGHT","CORE ARCHITECTURE","CORE MATERIAL","CURRENT","CURRENT RATING","CURRENT SENSING","CURRENT TRANSFER RATIO","DATA BUS WIDTH","DATA RATE","DATASHEETVERSION","DC CURRENT","DC RESISTANCE (DCR)","DENSITY","DEPTH","DEVICEDESIGNATOR","DEVICENUMBERING","DEVICESINPACKAGE","DEVICESINVIEW","DIAMETER","DIELECTRIC","DIELECTRIC MATERIAL","DIGI-KEY_PART_NUMBER","DIGI-KEY_PURCHASE_URL","DIGIKEY-PURCHASE-URL","DIRECTION","DISSIPATION FACTOR","DOMINANT WAVELENGTH","DRAIN TO SOURCE BREAKDOWN VOLTAGE","DRAIN TO SOURCE RESISTANCE","DRAIN TO SOURCE VOLTAGE (VDSS)","DROPOUT VOLTAGE","DUAL SUPPLY VOLTAGE","EFFICIENCY","ELEMENT CONFIGURATION","ELV","EMITTER BASE VOLTAGE (VEBO)","ENERGY","ESD PROTECTION","ESR (EQUIVALENT SERIES RESISTANCE)","EU_ROHS_COMPLIANCE","EVALUATION KIT","FALL TIME","FASTENING TYPE","FEATURES","FLAMMABILITY RATING","FORWARD CURRENT","FORWARD VOLTAGE","FREQUENCY","FREQUENCY STABILITY","FREQUENCY TOLERANCE","FUSE CURRENT","GAIN BANDWIDTH PRODUCT","GATE TO SOURCE VOLTAGE (VGS)","GENDER","GOVERNMENT QUALIFIED","HALOGEN FREE","HEAVY DUTY","HEIGHT","HEIGHT - SEATED (MAX)","HFE MIN","HIGH LEVEL OUTPUT CURRENT","HOLD CURRENT","HOLE DIAMETER","HOUSING COLOR","HOUSING MATERIAL","ILLUMINATION COLOR","INDUCTANCE","INDUCTANCE TOLERANCE","INPUT BIAS CURRENT","INPUT CAPACITANCE","INPUT CURRENT","INPUT OFFSET VOLTAGE (VOS)","INSIDE DIAMETER","INSULATED WIRE SUPPORT","INSULATION","INSULATION DIAMETER","INSULATION MATERIAL","INSULATION RESISTANCE","INTERFACE","ISHETEROGENEOUS","ISOLATION VOLTAGE","LATESTREVISIONDATE","LATESTREVISIONNOTE","LEAD DIAMETER","LEAD FREE","LEAD LENGTH","LEAD PITCH","LEAKAGE CURRENT","LENGTH","LENS COLOR","LENS STYLE","LIFE (HOURS)","LINEARITY","LOAD CAPACITANCE","LOGIC FUNCTION","LOW LEVEL OUTPUT CURRENT","LUMINOUS INTENSITY","MANUFACTURER","MANUFACTURER PART NUMBER","MANUFACTURER_PART_NUMBER","MATERIAL","MATERIAL THICKNESS","MAX BREAKDOWN VOLTAGE","MAX COLLECTOR CURRENT","MAX CURRENT RATING","MAX DC CURRENT","MAX DUAL SUPPLY VOLTAGE","MAX FORWARD SURGE CURRENT (IFSM)","MAX FREQUENCY","MAX INPUT CURRENT","MAX INPUT VOLTAGE","MAX OPERATING TEMPERATURE","MAX OUTPUT CURRENT","MAX OUTPUT VOLTAGE","MAX POWER DISSIPATION","MAX REPETITIVE REVERSE VOLTAGE (VRRM)","MAX RESET THRESHOLD VOLTAGE","MAX REVERSE VOLTAGE (DC)","MAX SUPPLY CURRENT","MAX SUPPLY VOLTAGE","MAX SURGE CURRENT","MAX VARISTOR VOLTAGE","MAX VOLTAGE RATING (AC)","MAX VOLTAGE RATING (DC)","MEMORY SIZE","MEMORY TYPE","MF","MILITARY STANDARD","MIN DUAL SUPPLY VOLTAGE","MIN INPUT VOLTAGE","MIN OPERATING TEMPERATURE","MIN OUTPUT VOLTAGE","MIN RESET THRESHOLD VOLTAGE","MIN SUPPLY VOLTAGE","MIN VARISTOR VOLTAGE","MOUNT","MOUSER-PURCHASE-URL","MP","NATURAL THERMAL RESISTANCE","NOMINAL INPUT VOLTAGE","NOMINAL SUPPLY CURRENT","NOMINAL VGS","NUMBER OF A/D CONVERTERS","NUMBER OF ADC CHANNELS","NUMBER OF AMPLIFIERS","NUMBER OF BITS","NUMBER OF BITS PER ELEMENT","NUMBER OF CELLS","NUMBER OF CHANNELS","NUMBER OF CIRCUITS","NUMBER OF CONTACTS","NUMBER OF CORES PER JACK","NUMBER OF DRIVERS","NUMBER OF ELEMENTS","NUMBER OF GATES","NUMBER OF HOLES","NUMBER OF I/OS","NUMBER OF I2C CHANNELS","NUMBER OF INPUT LINES","NUMBER OF INPUTS","NUMBER OF LEVELS","NUMBER OF OUTPUT LINES","NUMBER OF OUTPUTS","NUMBER OF PINS","NUMBER OF POLES","NUMBER OF PORTS","NUMBER OF POSITIONS","NUMBER OF POSITIONS PER LEVEL","NUMBER OF PROGRAMMABLE I/O","NUMBER OF PWM CHANNELS","NUMBER OF RECEIVERS","NUMBER OF ROWS","NUMBER OF SPI CHANNELS","NUMBER OF TERMINATIONS","NUMBER OF TIMERS/COUNTERS","NUMBER OF TRANSCEIVERS","NUMBER OF TRANSMITTERS","NUMBER OF UART CHANNELS","NUMBER OF VOLTAGES MONITORED","ON-STATE RESISTANCE","OPERATE TIME","OPERATING SUPPLY CURRENT","OPERATING SUPPLY VOLTAGE","ORIENTATION","ORIGINALSYMBOLORIGIN","OSCILLATOR TYPE","OUTPUT CONFIGURATION","OUTPUT CURRENT","OUTPUT CURRENT PER CHANNEL","OUTPUT TYPE","OUTPUT VOLTAGE","OUTSIDE DIAMETER","OVERVOLTAGE THRESHOLD","PACKAGE","PACKAGE QUANTITY","PACKAGEDESCRIPTION","PACKAGENAME","PACKAGEREFERENCE","PACKAGEVERSION","PACKAGING","PANEL MOUNT RETENTION","PCB MOUNT RETENTION","PCB MOUNTING ORIENTATION","PEAK NON-REPETITIVE SURGE CURRENT","PEAK PULSE POWER","PEAK REVERSE CURRENT","PERIPHERALS","PITCH","PLATING","PLATING THICKNESS","POLARITY","POLARIZED","POWER DISSIPATION","POWER RATING","POWER SUPPLY REJECTION RATIO (PSRR)","PRICE","PRICING 1","PRICING 2","PROPAGATION DELAY","PUBLISHED","PUBLISHER","QUIESCENT CURRENT","RADIATION HARDENING","RAM SIZE","RDS ON MAX","REACH SVHC","RECOVERY TIME","REFDES","RESET","RESET TIMEOUT","RESISTANCE","RESPONSE TIME","REVERSE BREAKDOWN VOLTAGE","REVERSE RECOVERY TIME","REVERSE VOLTAGE","RIPPLE CURRENT","RISE TIME","RJ45","RMS CURRENT (IRMS)","ROW SPACING","SATURATION CURRENT","SCHMITT TRIGGER INPUT","SEALABLE","SELF RESONANT FREQUENCY","SENSITIVITY","SHIELDING","SHROUDED","SIMPLEX/DUPLEX","SLEW RATE","SNAPEDA_LINK","STOCK 1","STOCK 2","STUD DIAMETER","SUPPLIER 1","SUPPLIER 2","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLY TYPE","SWITCHING FREQUENCY","SYNCHRONOUS RECTIFIER","TE_PURCHASE_URL","TEMPERATURE COEFFICIENT","TERMINATION","TEST CURRENT","TEST FREQUENCY","THICKNESS","THRESHOLD VOLTAGE","THROW CONFIGURATION","TIME FORMAT","TOLERANCE","TONGUE THICKNESS","TOPOLOGY","TRANSITION FREQUENCY","TURN-OFF DELAY TIME","TURN-ON DELAY TIME","TYPE","UNDERVOLTAGE THRESHOLD","UNITY GAIN BANDWIDTH PRODUCT","VALUE","VARISTOR VOLTAGE","VENDOR","VIEWING ANGLE","VOLTAGE","VOLTAGE GAIN","VOLTAGE RATING","VOLTAGE RATING (AC)","VOLTAGE RATING (DC)","WATCHDOG TIMER","WEIGHT","WIDTH","WIRE GAUGE (MAX)","WIRE GAUGE (MIN)","WIRE/CABLE DIAMETER","WIRE/CABLE GAUGE","SHEETPART","DESIGNATOR","DESCRIPTION"
"Cap_NP_15pf","CAP_NP_C2012X94N","","","","","","","","","","","","","","","100nF","0805","2012","0805","","","","","","","","","","","","","","","","","","","http://catalogs.avx.com/SurfaceMount.pdf?src-supplier=Digi-Key","http://catalogs.avx.com/SurfaceMount.pdf?src-supplier=Digi-Key","http://www.avx.com/docs/catalogs/cx7r.pdf?src-supplier=Avnet","http://www.avx.com/docs/catalogs/cx7r.pdf?src-supplier=Avnet","https://www.alliedelec.com/m/d/a24bb5190bea413b2ff164816f55e87c.pdf?src-supplier=Allied+Electronics","https://www.alliedelec.com/m/d/a24bb5190bea413b2ff164816f55e87c.pdf?src-supplier=Allied+Electronics","http://www.avx.com/docs/catalogs/cx7r.pdf?src-supplier=Avnet+Europe","http://www.avx.com/docs/catalogs/cx7r.pdf?src-supplier=Avnet+Europe","http://www.farnell.com/datasheets/2095836.pdf?src-supplier=Element14","http://www.farnell.com/datasheets/2095836.pdf?src-supplier=Element14","http://www.farnell.com/datasheets/2237835.pdf?src-supplier=Element14","http://www.farnell.com/datasheets/2237835.pdf?src-supplier=Element14","http://avx.com/docs/Catalogs/cx7r.pdf?src-supplier=Element14","http://avx.com/docs/Catalogs/cx7r.pdf?src-supplier=Element14","http://www.mouser.com/ds/2/212/KEM_C1003_C0G_SMD-1101588.pdf?src-supplier=Mouser","http://www.mouser.com/ds/2/212/KEM_C1003_C0G_SMD-1101588.pdf?src-supplier=Mouser","","","","","","","","","Tin,Matte","","","","","","","","","","","","","","","","","1.25mm","","","","","","X7R","Ceramic","","","","","2.5%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.94mm","","","","","","","","","","","","","","","","","","","","100GR","","","","17-Jul-2002","Re-released for DXP Platform.","","Lead Free","","0.7mm","","2.01mm","","","","","","","","","Kyocera AVX","08055C104MAT2A","","","","","","","","","","","","","125°C","","","","","","","","","","","","","","","","","","","-55°C","","","","","Surface Mount,PCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","Radial Cap, Thru-Hole; 2 Leads; 0.3 in Pin Spacing","","RAD-0.3","","Tape and Reel","","","","","","","","","","","","","","","","","1=0.11, 10=0.078, 100=0.0347, 500=0.0248, 1000=0.01948 (USD)","","","8-Jun-2000","Altium Limited","","No","","","No SVHC","","","","","","","","","","","","","","","","","","","","","","","","","59743","","","Digi-Key","","399-9005-1-ND","","","","","","","SMD/SMT","","","0.037inch","","","","20%","","","","","","","","","15pF","","","","50V","","50V","","50V","","","0.049inch","","","","","","C?","Capacitor"
"Cap_NP_TH","Cap_np_TH","","","","","","","","","","","","","","","100nF","0805","2012","0805","","","","","","","","","","","","","","","","","","","http://catalogs.avx.com/SurfaceMount.pdf?src-supplier=Digi-Key","http://catalogs.avx.com/SurfaceMount.pdf?src-supplier=Digi-Key","http://www.avx.com/docs/catalogs/cx7r.pdf?src-supplier=Avnet","http://www.avx.com/docs/catalogs/cx7r.pdf?src-supplier=Avnet","https://www.alliedelec.com/m/d/a24bb5190bea413b2ff164816f55e87c.pdf?src-supplier=Allied+Electronics","https://www.alliedelec.com/m/d/a24bb5190bea413b2ff164816f55e87c.pdf?src-supplier=Allied+Electronics","http://www.avx.com/docs/catalogs/cx7r.pdf?src-supplier=Avnet+Europe","http://www.avx.com/docs/catalogs/cx7r.pdf?src-supplier=Avnet+Europe","http://www.farnell.com/datasheets/2095836.pdf?src-supplier=Element14","http://www.farnell.com/datasheets/2095836.pdf?src-supplier=Element14","http://www.farnell.com/datasheets/2237835.pdf?src-supplier=Element14","http://www.farnell.com/datasheets/2237835.pdf?src-supplier=Element14","http://avx.com/docs/Catalogs/cx7r.pdf?src-supplier=Element14","http://avx.com/docs/Catalogs/cx7r.pdf?src-supplier=Element14","http://www.illinoiscapacitor.com/pdf/seriesDocuments/MSR%20series.pdf?src-supplier=Future+Electronics","http://www.illinoiscapacitor.com/pdf/seriesDocuments/MSR%20series.pdf?src-supplier=Future+Electronics","https://www.alliedelec.com/m/d/3d64ae266c9d19b4eff468d6deaeec77.pdf?src-supplier=Allied+Electronics","https://www.alliedelec.com/m/d/3d64ae266c9d19b4eff468d6deaeec77.pdf?src-supplier=Allied+Electronics","","","","","","","Tin,Matte","","","","","","","","","","","","","","","","","1.25mm","","","","","","X7R","Ceramic","","","","","2.5%","","","","","","","","","","","","","17.684R","","","","","","","","","","","","","","","","","","","0.94mm","0.65inch","","","","","","","","","","","","","","","","","","","100GR","","","","17-Jul-2002","Re-released for DXP Platform.","","Lead Free","15mm","0.886inch","","2.01mm","","","","","","","","","Kyocera AVX","08055C104MAT2A","","","","","","","","","","","","","125°C","","","","","","","","","","","","","","","","","","","-55°C","","","","","Surface Mount,PCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","Radial Cap, Thru-Hole; 2 Leads; 0.3 in Pin Spacing","","RAD-0.3","","Tape and Reel","","","","","","","","","","","","","","","","","1=0.99, 10=0.785, 100=0.5886, 500=0.4447, 1000=0.39239, 2500=0.36623, 5000=0.35315 (USD)","","","8-Jun-2000","Altium Limited","","No","","","No SVHC","","","","","","","","","","","","","","","","","","","","","","","","","6804","","","Digi-Key","","1572-1010-ND","","","","","","","SMD/SMT","","","0.037inch","","","","20%","","","","","","","","","100pF","","","","50V","","50V","250V","50V","","","0.049inch","","","","","","C?","Capacitor"
"Cap_Tantalio","*CAPC3216X125N","","","","","","","","","","","","","","","100nF","0805","2012","0805","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Tin,Matte","","","","","","","","","","","","","","","","","1.25mm","","","","","","X7R","Ceramic","","","","","2.5%","","","","","","","","","","","","","3R","","","","","General Purpose","","","","","","","","","","","","","","0.94mm","","","","","","","","","","","","","","","","","","","","100GR","","","","17-Jul-2002","Re-released for DXP Platform.","","Lead Free","","","","2.01mm","","","2000Hour","","","","","","Kyocera AVX","08055C104MAT2A","","","","","","","","","","","","","125°C","","","","","","","","","","","","","","","","","","","-55°C","","","","","Surface Mount,PCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","Radial Cap, Thru-Hole; 2 Leads; 0.3 in Pin Spacing","","RAD-0.3","","Tape and Reel","","","","","","","","","","","","","","","","","1=0.2, 10=0.14, 100=0.066, 500=0.0463, 1000=0.03833 (USD)","1=0.46, 10=0.325, 100=0.2142, 500=0.1587, 1000=0.1349 (USD)","","8-Jun-2000","Altium Limited","","No","","","No SVHC","","","","","","","","","","","","","","","","","","","","","","","","","163878","945574","","Digi-Key","Digi-Key","","478-8235-1-ND","","","","","","SMD/SMT","","","0.037inch","","","","20%","","","","","","","","","100pF","","","","50V","","50V","","50V","","","0.049inch","","","","","","C?","Capacitores de tantalio Moldeado 10µF 16V 1206 (3216 métrico) 3Ohm a 100kHz"
"Cap_polar","CAPR5-4X5","","","","","","","","","","","","","","","1mF","","","Radial","","","","","","","","","","","","","","","","","","","http://www.farnell.com/datasheets/1909356.pdf?src-supplier=Element14","http://www.farnell.com/datasheets/1909356.pdf?src-supplier=Element14","http://nichicon-us.com/english/products/pdfs/e-uvr.pdf?src-supplier=Digi-Key","http://nichicon-us.com/english/products/pdfs/e-uvr.pdf?src-supplier=Digi-Key","http://www.nichicon.co.jp/english/products/pdfs/e-vr.pdf?src-supplier=Avnet","http://www.nichicon.co.jp/english/products/pdfs/e-vr.pdf?src-supplier=Avnet","http://products.nichicon.co.jp/en/pdf/XJA043/e-vr.pdf?src-supplier=Future+Electronics","http://products.nichicon.co.jp/en/pdf/XJA043/e-vr.pdf?src-supplier=Future+Electronics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10mm","","Aluminium","","","","","0.16%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20mm","0.866inch","","","","","","","","","","","","","","","","","","","","","","","","","0.6mm","Lead Free","","5mm","750uA","20mm","","","2000Hour","","","","","","Nichicon","UVR1E102MPD1TD","","","","","","","","","","","","","85°C","","","","","","","","","","","","","","","","","","","-40°C","","","","","Through Hole,PCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","Capacitor; 2 Leads","","CAPR5-4X5","","Tape and Reel","","","","","","","","","","","","","","","","","1=0.58, 10=0.408, 100=0.2689 (USD)","","","23-Sep-2002","Altium Limited","","No","","","No SVHC","","","","","","","","","","960mA","","","","","","","","","","","","","","","57345","","","Digi-Key","","493-5913-1-ND","","","","","","","Radial","","","","","","","20%","","","","","","","","","100pF","","","","25V","","25V","","25V","","","","","","","","","C?","Capacitor"
"Cap_tantali_10uF/16V","CAP-A Size","","","","","","","","","","","","","","","1mF","","","Radial","","","","","","","","","","","","","","","","","","","293D106X0016A2TE3","https://www.digikey.com/es/products/detail/vishay-sprague/293D106X0016A2TE3/1578608","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10mm","","Aluminium","","","","","0.16%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20mm","0.866inch","","","","","","","","","","","","","","","","","","","","","","","","","0.6mm","Lead Free","","5mm","750uA","20mm","","","2000Hour","","","","","","Nichicon","UVR1E102MPD1TD","","","","","","","","","","","","","85°C","","","","","","","","","","","","","","","","","","","-40°C","","","","","Through Hole,PCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","Capacitor; 2 Leads","","CAPR5-4X5","","Tape and Reel","","","","","","","","","","","","","","","","","","","","23-Sep-2002","Altium Limited","","No","","","No SVHC","","","","","","","","","","960mA","","","","","","","","","","","","","","","","","","Digi-Key","","293D106X0016A2TE3-ND","","","","","","","Radial","","","","","","","20%","","","","","","","","","10uF/16V","","","","25V","","25V","","25V","","","","","","","","","C?","Capacitor"
"Cap_tantali_47uF","CAPPC3528X210N","","","","","","","","","","","","","","","1mF","","","Radial","","","","","","","","","","","","","","","","","","","T491B476K010AT","https://www.digikey.com/es/products/detail/kemet/T491B476K010AT/3724805?s=N4IgTCBcDaIMwE4EFoEHYwA5kEZkDkAREAXQF8g","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10mm","","Aluminium","","","","","0.16%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20mm","0.866inch","","","","","","","","","","","","","","","","","","","","","","","","","0.6mm","Lead Free","","5mm","750uA","20mm","","","2000Hour","","","","","","Nichicon","UVR1E102MPD1TD","","","","","","","","","","","","","85°C","","","","","","","","","","","","","","","","","","","-40°C","","","","","Through Hole,PCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","Capacitor; 2 Leads","","CAPR5-4X5","","Tape and Reel","","","","","","","","","","","","","","","","","1=0.58, 10=0.408, 100=0.2689 (USD)","","","23-Sep-2002","Altium Limited","","No","","","No SVHC","","","","","","","","","","960mA","","","","","","","","","","","","","","","57345","","","Digi-Key","","493-5913-1-ND","","","","","","","Radial","","","","","","","20%","","","","","","","","","100pF","","","","25V","","25V","","25V","","","","","","","","","C?","Capacitor"
"Cap_tantali_smd_47uF","CAPPC3528X210N","","","","","","","","","","","","","","","1mF","","","Radial","","","","","","","","","","","","47uF","","","","","","","T491B476K010AT","https://www.digikey.com/es/products/detail/kemet/T491B476K010AT/3724805?s=N4IgTCBcDaIMwE4EFoEHYwA5kEZkDkAREAXQF8g","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10mm","","Aluminium","","","","","0.16%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20mm","0.866inch","","","","","","","","","","","","","","","","","","","","","","","","","0.6mm","Lead Free","","5mm","750uA","20mm","","","2000Hour","","","","","","Nichicon","UVR1E102MPD1TD","","","","","","","","","","","","","85°C","","","","","","","","","","","","","","","","","","","-40°C","","","","","Through Hole,PCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","Capacitor; 2 Leads","","CAPR5-4X5","","Tape and Reel","","","","","","","","","","","","","","","","","","","","23-Sep-2002","Altium Limited","","No","","","No SVHC","","","","","","","","","","960mA","","","","","","","","","","","","","","","","","","RSComponents","","1700291","","","","","","","Radial","","","","","","","20%","","","","","","","","","47uF","","","","25V","","25V","","25V","","","","","","","","","C?","Capacitor 47uF"
"Cap_tantali_smd_47uF_1","CAPPC3528X210N","","","","","","","","","","","","","","","1mF","","","Radial","","","","","","","","","","","","47uF","","","","","","","T491B476K010AT","https://www.digikey.com/es/products/detail/kemet/T491B476K010AT/3724805?s=N4IgTCBcDaIMwE4EFoEHYwA5kEZkDkAREAXQF8g","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10mm","","Aluminium","","","","","0.16%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20mm","0.866inch","","","","","","","","","","","","","","","","","","","","","","","","","0.6mm","Lead Free","","5mm","750uA","20mm","","","2000Hour","","","","","","Nichicon","UVR1E102MPD1TD","","","","","","","","","","","","","85°C","","","","","","","","","","","","","","","","","","","-40°C","","","","","Through Hole,PCB","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","Capacitor; 2 Leads","","CAPR5-4X5","","Tape and Reel","","","","","","","","","","","","","","","","","","","","23-Sep-2002","Altium Limited","","No","","","No SVHC","","","","","","","","","","960mA","","","","","","","","","","","","","","","","","","RSComponents","","1700291","","","","","","","Radial","","","","","","","20%","","","","","","","","","47uF","","","","25V","","25V","","25V","","","","","","","","","C2","Capacitor 47uF"
"DIODE","SM/_SMB DIODE","","","","","","","","Unavailable","1A","","","","36.7V","","15pF","","","","","53.3V","","","","","","","","","","SMBJ33CAFSDKR-ND","","","","","","","http://www.farnell.com/datasheets/2288250.pdf?src-supplier=Newark","http://www.farnell.com/datasheets/2288250.pdf?src-supplier=Newark","http://www.onsemi.com/pub/Collateral/1N4001-D.PDF?src-supplier=Digi-Key","http://www.onsemi.com/pub/Collateral/1N4001-D.PDF?src-supplier=Digi-Key","http://www.fairchildsemi.com/datasheets/1N/1N4001.pdf?src-supplier=Digi-Key","http://www.fairchildsemi.com/datasheets/1N/1N4001.pdf?src-supplier=Digi-Key","","","","","","","","","","","","","","","","","","","Tin,Matte","","","","","","","","1A","","","","","","","","","","","","","","2.72mm","","","","","","","","","","","","","","","Single","","","","","","","","","","","","1A","1.1V","","","","","","","","","","","5.2mm","","","","","","","","","","","","","","","","","","","","","","","","","","","Lead Free","","","","5.2mm","","","","","","","","","ON Semiconductor / Fairchild","1N4007","","","","","","","","","30A","","","","175°C","","","","1kV","","1kV","","","30A","","","","","","ON Semiconductor","","","","-65°C","","","","","Through Hole","","1N4007","","","","","","","","","","","1","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","33V","","","","","1A","","","","","","DO-41 Good-Ark","1000","","","","","Tape and Reel","","","","30A","600W","5uA","","","","","Standard","","3W","600W","","None","1=0.4, 10=0.344, 25=0.3208, 100=0.2384, 250=0.22648, 500=0.18614, 1000=0.15129 (USD)","","","","","","No","","","No SVHC","","","","","","","","","1kV","","","","","","","","","","","","","","","https://www.snapeda.com/parts/1N4007/ON%20Semiconductor/view-part/?ref=snap","77516","","","Digi-Key","","SMBJ33CAFSDKR-ND","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","1kV","","0.245g","2.72mm","","","","","*","D?","Diode Switching 1KV 1A 2-Pin DO-41"
"DIODE FM 4004","DIODE DO-214AC","","","","","","","","Unavailable","1A","","","","","","15pF","","","","","","","","","","","","","","","1N4004","","","","","","","http://www.farnell.com/datasheets/2288250.pdf?src-supplier=Newark","http://www.farnell.com/datasheets/2288250.pdf?src-supplier=Newark","http://www.onsemi.com/pub/Collateral/1N4001-D.PDF?src-supplier=Digi-Key","http://www.onsemi.com/pub/Collateral/1N4001-D.PDF?src-supplier=Digi-Key","http://www.fairchildsemi.com/datasheets/1N/1N4001.pdf?src-supplier=Digi-Key","http://www.fairchildsemi.com/datasheets/1N/1N4001.pdf?src-supplier=Digi-Key","","","","","","","","","","","","","","","","","","","Tin,Matte","","","","","","","","1A","","","","","","","","","","","","","","2.72mm","","","","","","","","","","","","","","","Single","","","","","","","","","","","","1A","1.1V","","","","","","","","","","","5.2mm","","","","","","","","","","","","","","","","","","","","","","","","","","","Lead Free","","","","5.2mm","","","","","","","","","ON Semiconductor / Fairchild","1N4007","","","","","","","","","30A","","","","175°C","","","","1kV","","1kV","","","30A","","","","","","ON Semiconductor","","","","-65°C","","","","","Through Hole","","1N4007","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","1A","","","","","","DO-41 Good-Ark","1000","","","","","Tape and Reel","","","","30A","","5uA","","","","","Standard","","3W","","","None","","","","","","","No","","","No SVHC","","","","","","","","","1kV","","","","","","","","","","","","","","","https://www.snapeda.com/parts/1N4007/ON%20Semiconductor/view-part/?ref=snap","","","","Digi-Key","","2516-FM4004W-WTR-ND","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","1kV","","0.245g","2.72mm","","","","","*","D?","DIODE"
